sample_id,cbr_id,test_area,test_id,CBR_id,rep,depth_from_surface,rsp_index
STA2_test0_CBR3_r1,STA2_test0_CBR3,STA2,Test 0,CBR3,r1,250,21
STA2_test0_CBR3_r1,STA2_test0_CBR3,STA2,Test 0,CBR3,r1,275,38
STA2_test0_CBR3_r1,STA2_test0_CBR3,STA2,Test 0,CBR3,r1,300,38
STA2_test0_CBR3_r1,STA2_test0_CBR3,STA2,Test 0,CBR3,r1,350,21
STA2_test0_CBR3_r1,STA2_test0_CBR3,STA2,Test 0,CBR3,r1,375,38
STA2_test0_CBR3_r1,STA2_test0_CBR3,STA2,Test 0,CBR3,r1,400,38
STA2_test0_CBR3_r2,STA2_test0_CBR3,STA2,Test 0,CBR3,r2,50,38
STA2_test0_CBR3_r2,STA2_test0_CBR3,STA2,Test 0,CBR3,r2,75,38
STA2_test0_CBR3_r2,STA2_test0_CBR3,STA2,Test 0,CBR3,r2,200,10
STA2_test0_CBR3_r2,STA2_test0_CBR3,STA2,Test 0,CBR3,r2,250,21
STA2_test0_CBR3_r2,STA2_test0_CBR3,STA2,Test 0,CBR3,r2,300,21
STA2_test0_CBR3_r2,STA2_test0_CBR3,STA2,Test 0,CBR3,r2,400,12
STA2_test0_CBR3_r3,STA2_test0_CBR3,STA2,Test 0,CBR3,r3,100,15
STA2_test0_CBR3_r3,STA2_test0_CBR3,STA2,Test 0,CBR3,r3,150,21
STA2_test0_CBR3_r3,STA2_test0_CBR3,STA2,Test 0,CBR3,r3,175,38
STA2_test0_CBR3_r3,STA2_test0_CBR3,STA2,Test 0,CBR3,r3,200,38
STA2_test0_CBR3_r3,STA2_test0_CBR3,STA2,Test 0,CBR3,r3,225,38
STA2_test0_CBR3_r3,STA2_test0_CBR3,STA2,Test 0,CBR3,r3,250,38
STA2_test0_CBR3_r3,STA2_test0_CBR3,STA2,Test 0,CBR3,r3,300,21
STA2_test0_CBR3_r3,STA2_test0_CBR3,STA2,Test 0,CBR3,r3,325,38
STA2_test0_CBR3_r3,STA2_test0_CBR3,STA2,Test 0,CBR3,r3,375,21
STA2_test0_CBR3_r3,STA2_test0_CBR3,STA2,Test 0,CBR3,r3,400,38
STA1_test1_CBR1_r1,STA1_test1_CBR1,STA1,Test 1,CBR1,r1,75,21
STA1_test1_CBR1_r1,STA1_test1_CBR1,STA1,Test 1,CBR1,r1,100,38
STA1_test1_CBR1_r1,STA1_test1_CBR1,STA1,Test 1,CBR1,r1,150,21
STA1_test1_CBR1_r1,STA1_test1_CBR1,STA1,Test 1,CBR1,r1,175,38
STA1_test1_CBR1_r1,STA1_test1_CBR1,STA1,Test 1,CBR1,r1,200,38
STA1_test1_CBR1_r1,STA1_test1_CBR1,STA1,Test 1,CBR1,r1,250,21
STA1_test1_CBR1_r1,STA1_test1_CBR1,STA1,Test 1,CBR1,r1,275,38
STA1_test1_CBR1_r1,STA1_test1_CBR1,STA1,Test 1,CBR1,r1,300,38
STA1_test1_CBR1_r1,STA1_test1_CBR1,STA1,Test 1,CBR1,r1,325,38
STA1_test1_CBR1_r1,STA1_test1_CBR1,STA1,Test 1,CBR1,r1,375,21
STA1_test1_CBR1_r1,STA1_test1_CBR1,STA1,Test 1,CBR1,r1,400,38
STA1_test1_CBR1_r2,STA1_test1_CBR1,STA1,Test 1,CBR1,r2,175,9
STA1_test1_CBR1_r2,STA1_test1_CBR1,STA1,Test 1,CBR1,r2,200,38
STA1_test1_CBR1_r2,STA1_test1_CBR1,STA1,Test 1,CBR1,r2,225,38
STA1_test1_CBR1_r2,STA1_test1_CBR1,STA1,Test 1,CBR1,r2,250,38
STA1_test1_CBR1_r2,STA1_test1_CBR1,STA1,Test 1,CBR1,r2,275,38
STA1_test1_CBR1_r2,STA1_test1_CBR1,STA1,Test 1,CBR1,r2,325,21
STA1_test1_CBR1_r2,STA1_test1_CBR1,STA1,Test 1,CBR1,r2,350,38
STA1_test1_CBR1_r2,STA1_test1_CBR1,STA1,Test 1,CBR1,r2,400,21
STA1_test1_CBR1_r3,STA1_test1_CBR1,STA1,Test 1,CBR1,r3,75,21
STA1_test1_CBR1_r3,STA1_test1_CBR1,STA1,Test 1,CBR1,r3,100,38
STA1_test1_CBR1_r3,STA1_test1_CBR1,STA1,Test 1,CBR1,r3,125,38
STA1_test1_CBR1_r3,STA1_test1_CBR1,STA1,Test 1,CBR1,r3,150,38
STA1_test1_CBR1_r3,STA1_test1_CBR1,STA1,Test 1,CBR1,r3,175,38
STA1_test1_CBR1_r3,STA1_test1_CBR1,STA1,Test 1,CBR1,r3,200,38
STA1_test1_CBR1_r3,STA1_test1_CBR1,STA1,Test 1,CBR1,r3,225,38
STA1_test1_CBR1_r3,STA1_test1_CBR1,STA1,Test 1,CBR1,r3,250,38
STA1_test1_CBR1_r3,STA1_test1_CBR1,STA1,Test 1,CBR1,r3,275,38
STA1_test1_CBR1_r3,STA1_test1_CBR1,STA1,Test 1,CBR1,r3,300,38
STA1_test1_CBR1_r3,STA1_test1_CBR1,STA1,Test 1,CBR1,r3,325,38
STA1_test1_CBR1_r3,STA1_test1_CBR1,STA1,Test 1,CBR1,r3,375,56
STA1_test1_CBR1_r3,STA1_test1_CBR1,STA1,Test 1,CBR1,r3,400,38
STA1_test1_CBR2_r1,STA1_test1_CBR2,STA1,Test 1,CBR2,r1,50,73
STA1_test1_CBR2_r1,STA1_test1_CBR2,STA1,Test 1,CBR2,r1,75,38
STA1_test1_CBR2_r1,STA1_test1_CBR2,STA1,Test 1,CBR2,r1,125,21
STA1_test1_CBR2_r1,STA1_test1_CBR2,STA1,Test 1,CBR2,r1,225,12
